n_vertices,degree,best_time,best_probability,polynomial_marked_probability,probability_error,state_relative_error,operator_relative_error,qsp_phase_count,signal_call_proxy
4,8,3.141592653589793,1.0,0.9999372053660501,6.279463394986973e-05,3.959031620199011e-05,4.6781169788962456e-05,9,8
4,14,3.141592653589793,1.0,1.0000000000617515,6.175149280807091e-11,3.5523054782584374e-11,4.3063292642978565e-11,15,14
8,8,4.442882938158366,0.9999999999999998,0.9998108606993401,0.00018913930065966866,0.0002053342298213664,0.00041545056011288667,9,8
8,14,4.442882938158366,0.9999999999999998,1.0000000005214305,5.214306764145249e-10,1.0183537093763034e-09,1.7083950098841167e-09,15,14
16,10,6.283185307179586,0.9999999999999996,0.9998649522481357,0.00013504775186390372,9.385743168292456e-05,0.00016283612229568923,11,10
16,18,6.283185307179586,0.9999999999999996,0.9999999999880662,1.1933343202485958e-11,1.0717386999025439e-11,1.5166384110079158e-11,19,18
